,Name,Address,입점수,광역시도,시도
532,빽다방,부산광역시 사하구,1,부산광역시,사하구
533,빽다방,서울특별시 중랑구,2,서울특별시,중랑구
534,빽다방,서울특별시 강서구,8,서울특별시,강서구
535,빽다방,서울특별시 중구,7,서울특별시,중구
536,빽다방,서울특별시 성동구,4,서울특별시,성동구
537,빽다방,서울특별시 중구,7,서울특별시,중구
538,빽다방,서울특별시 강서구,8,서울특별시,강서구
539,빽다방,부산광역시 북구,3,부산광역시,북구
540,빽다방,서울특별시 강서구,8,서울특별시,강서구
541,빽다방,서울특별시 종로구,7,서울특별시,종로구
542,빽다방,서울특별시 송파구,11,서울특별시,송파구
543,빽다방,서울특별시 서대문구,4,서울특별시,서대문구
544,빽다방,서울특별시 송파구,11,서울특별시,송파구
545,빽다방,서울특별시 관악구,5,서울특별시,관악구
